Project,Application,Micro_Application,Title,Description,Steps,Expected_Result,Actual_Result,Status,Remark,Task_ID,Ticket_ID
Tower Track,Web,Login,Valid Login,Login with valid credentials,Enter username and password,User should login successfully,User logged in,Pass,,1,
Tower Track,Part Allocation Insights,Navigation,Navigate to SLA & Risk Heatmap,Open SLA & Risk Heatmap page,Click SLA & Risk Heatmap card,Page should open,Page opened,Pass,,2,
Tower Track,Part Allocation Insights,SLA & Risk Heatmap (Frontend),Verify Page Heading,Verify heading is displayed correctly,Open SLA & Risk Heatmap page,Heading should show 'Part Allocation Insights > SLA & Risk Heatmap',Heading visible,Pass,,3,
Tower Track,Part Allocation Insights,SLA & Risk Heatmap (Frontend),Verify Strategic Overview Tab,Ensure Strategic Overview tab loads KPI dashboard,Click Strategic Overview tab,KPI & Reporting Dashboard should display,Dashboard displayed,Pass,,4,
Tower Track,Part Allocation Insights,SLA & Risk Heatmap - Strategic Overview (Frontend),Verify KPI Dashboard Scroll,Ensure KPI dashboard is scrollable,Scroll KPI dashboard vertically,All KPI boxes should be visible,KPI boxes visible,Pass,,5,
Tower Track,Part Allocation Insights,SLA & Risk Heatmap - Strategic Overview (Frontend),Verify SLA & Risk Heatmap Section,Ensure SLA & Risk Heatmap section expands and scrolls,Scroll and expand SLA & Risk Heatmap section,Facility boxes should be visible,Facility boxes visible,Pass,,6,
Tower Track,Part Allocation Insights,SLA & Risk Heatmap - Bottleneck & Dependency Alerts (Frontend),Verify Bottleneck Table Scroll,Ensure Bottleneck table scrolls vertically,Scroll Bottleneck table,Table should allow vertical scrolling,Table scrolls correctly,Pass,,7,
Tower Track,Part Allocation Insights,SLA & Risk Heatmap - Bottleneck & Dependency Alerts (Frontend),Verify Bottleneck Table Data,Ensure all alert rows display correct data,"Verify alert type, description, facility, severity",All alert rows should show correct data,Correct data displayed,Pass,,8,
Tower Track,Part Allocation Insights,SLA & Risk Heatmap (Frontend),Verify Operational Insights Tab,Ensure Operational Insights tab loads content,Click Operational Insights tab,Operational Insights content should load,Operational Insights loaded,Pass,,9,
Tower Track,Part Allocation Insights,Operational Insights (Frontend),Verify Facility Dropdown,Ensure all facilities are listed,Open Facility dropdown,All facilities should be visible,Facilities listed correctly,Pass,,10,
Tower Track,Part Allocation Insights,Operational Insights (Frontend),Verify Date Selection,Ensure Start and End date can be selected,Select Start Date and End Date,Date selection should work correctly,Dates selected successfully,Pass,,11,
Tower Track,Part Allocation Insights,Operational Insights (Frontend),Verify Report Generation,Ensure graph generates for selected inputs,Click Generate Report,Graph should render with correct axes,Graph rendered successfully,Pass,,12,
Tower Track,Part Allocation Insights,Operational Insights (Frontend),Verify Graph Interaction,Ensure graph supports hover interaction,Hover over graph data points,Tooltip data should display,Graph hover works correctly,Pass,,13,
Tower Track,Part Allocation Insights,SLA & Risk Impact Details (Frontend),Verify Facility Dropdown,Ensure all facilities appear in SLA Impact dropdown,Open SLA Impact facility dropdown,All facilities should be listed,Facility list displayed,Pass,,14,
Tower Track,Part Allocation Insights,SLA & Risk Impact Details (Frontend),Verify SLA Breach Details,Ensure SLA breach details update on facility change,Select different facilities,Details should update dynamically,Details updated correctly,Pass,,15,
Tower Track,Part Allocation Insights,SLA & Risk Heatmap (Frontend),End-to-End Validation,Complete UI validation of SLA & Risk Heatmap,Execute full UI workflow,All steps should pass,All steps passed successfully,Pass,,16,
